onset	duration	trial_type	value	sample
2.2958333333333334	0.0	planning	60	2755
8.313333333333333	0.0	move_entering	100	9976
14.989166666666666	0.0	planning	60	17987
21.011666666666667	0.0	move_entering	100	25214
26.626666666666665	0.0	state_trigger_start	40	31952
27.426666666666666	0.0	n/a	42	32912
28.226666666666667	0.0	n/a	44	33872
29.013333333333332	0.0	n/a	46	34816
30.196666666666665	0.0	no_shock_outcome	52	36236
32.99583333333333	0.0	rest	30	39595
33.579166666666666	0.0	planning	60	40295
39.598333333333336	0.0	move_entering	100	47518
45.221666666666664	0.0	state_trigger_start	40	54266
46.005	0.0	n/a	42	55206
46.805	0.0	n/a	44	56166
47.605	0.0	n/a	46	57126
48.79416666666667	0.0	shock_outcome	50	58553
51.595	0.0	rest	30	61914
52.15083333333333	0.0	planning	60	62581
58.17166666666667	0.0	move_entering	100	69806
63.778333333333336	0.0	state_trigger_start	40	76534
64.565	0.0	n/a	42	77478
65.39166666666667	0.0	n/a	44	78470
66.20333333333333	0.0	n/a	46	79444
67.37	0.0	shock_outcome	50	80844
70.16666666666667	0.0	rest	30	84200
70.76333333333334	0.0	planning	60	84916
76.78833333333333	0.0	move_entering	100	92146
82.40333333333334	0.0	state_trigger_start	40	98884
83.20333333333333	0.0	n/a	42	99844
83.98916666666666	0.0	n/a	44	100787
84.80583333333334	0.0	n/a	46	101767
85.98916666666666	0.0	no_shock_outcome	52	103187
88.7875	0.0	rest	30	106545
89.3575	0.0	planning	60	107229
95.3825	0.0	move_entering	100	114459
101.00666666666666	0.0	state_trigger_start	40	121208
101.78666666666666	0.0	n/a	42	122144
102.5975	0.0	n/a	44	123117
103.40833333333333	0.0	n/a	46	124090
104.575	0.0	no_shock_outcome	52	125490
107.375	0.0	rest	30	128850
107.975	0.0	planning	60	129570
113.9825	0.0	move_entering	100	136779
119.6075	0.0	state_trigger_start	40	143529
120.4125	0.0	n/a	42	144495
121.17916666666666	0.0	n/a	44	145415
121.99666666666667	0.0	n/a	46	146396
123.18	0.0	no_shock_outcome	52	147816
125.99083333333333	0.0	rest	30	151189
126.55916666666667	0.0	planning	60	151871
132.56	0.0	move_entering	100	159072
139.25666666666666	0.0	planning	60	167108
145.2775	0.0	move_entering	100	174333
150.89416666666668	0.0	state_trigger_start	40	181073
151.70583333333335	0.0	n/a	42	182047
152.4725	0.0	n/a	44	182967
153.29666666666665	0.0	n/a	46	183956
154.46666666666667	0.0	no_shock_outcome	52	185360
157.27166666666668	0.0	rest	30	188726
157.85166666666666	0.0	planning	60	189422
163.86333333333334	0.0	move_entering	100	196636
169.48916666666668	0.0	state_trigger_start	40	203387
170.25583333333333	0.0	n/a	42	204307
171.08083333333335	0.0	n/a	44	205297
171.89166666666668	0.0	n/a	46	206270
173.05833333333334	0.0	shock_outcome	50	207670
175.85666666666665	0.0	rest	30	211028
176.44	0.0	planning	60	211728
182.44666666666666	0.0	move_entering	100	218936
188.08416666666668	0.0	state_trigger_start	40	225701
188.8675	0.0	n/a	42	226641
189.67583333333334	0.0	n/a	44	227611
190.47583333333333	0.0	n/a	46	228571
191.65916666666666	0.0	no_shock_outcome	52	229991
194.45916666666668	0.0	rest	30	233351
195.02583333333334	0.0	planning	60	234031
201.0325	0.0	move_entering	100	241239
207.72416666666666	0.0	planning	60	249269
213.74666666666667	0.0	move_entering	100	256496
220.4225	0.0	planning	60	264507
226.43166666666667	0.0	move_entering	100	271718
232.05	0.0	state_trigger_start	40	278460
232.85	0.0	n/a	42	279420
233.65	0.0	n/a	44	280380
234.43333333333334	0.0	n/a	46	281320
235.63416666666666	0.0	no_shock_outcome	52	282761
238.44083333333333	0.0	rest	30	286129
239.0175	0.0	planning	60	286821
245.02333333333334	0.0	move_entering	100	294028
251.71916666666667	0.0	planning	60	302063
257.74083333333334	0.0	move_entering	100	309289
264.415	0.0	planning	60	317298
270.42833333333334	0.0	move_entering	100	324514
277.1275	0.0	planning	60	332553
283.1408333333333	0.0	move_entering	100	339769
288.75	0.0	state_trigger_start	40	346500
289.5491666666667	0.0	n/a	42	347459
290.3566666666667	0.0	n/a	44	348428
291.1566666666667	0.0	n/a	46	349388
292.34	0.0	no_shock_outcome	52	350808
295.14166666666665	0.0	rest	30	354170
295.7108333333333	0.0	planning	60	354853
301.7341666666667	0.0	move_entering	100	362081
307.33416666666665	0.0	state_trigger_start	40	368801
308.14	0.0	n/a	42	369768
308.94	0.0	n/a	44	370728
309.74666666666667	0.0	n/a	46	371696
310.93	0.0	shock_outcome	50	373116
313.72833333333335	0.0	rest	30	376474
314.3333333333333	0.0	planning	60	377200
320.3475	0.0	move_entering	100	384417
325.9691666666667	0.0	state_trigger_start	40	391163
326.77	0.0	n/a	42	392124
327.57	0.0	n/a	44	393084
328.37333333333333	0.0	n/a	46	394048
329.55833333333334	0.0	shock_outcome	50	395470
332.3525	0.0	rest	30	398823
337.07666666666665	0.0	n/a	255	404492
337.08	0.0	n/a	255	404496
337.0825	0.0	n/a	255	404499
337.0858333333333	0.0	n/a	255	404503
337.08916666666664	0.0	n/a	255	404507
343.1125	0.0	n/a	255	411735
343.11583333333334	0.0	n/a	255	411739
343.1191666666667	0.0	n/a	255	411743
343.1225	0.0	n/a	255	411747
343.12583333333333	0.0	n/a	255	411751
